"year","location","total_expenses"
2006,"Unspecified location","312309461"
2006,"Hlavní město Praha","32373908"
2006,"Jihočeský kraj","4649778"
2006,"Jihomoravský kraj","12824048"
2006,"Karlovarský kraj","3156097"
2006,"Kraj Vysočina","3196580"
2006,"Královéhradecký kraj","5536354"
2006,"Liberecký kraj","5652727"
2006,"Moravskoslezský kraj","13071604"
2006,"Olomoucký kraj","3241402"
2006,"Pardubický kraj","7413082"
2006,"Plzeňský kraj","4787930"
2006,"Ústecký kraj","10268603"
2006,"Středočeský kraj","14990822"
2006,"Zlínský kraj","5530360"
2007,"Unspecified location","358795360"
2007,"Hlavní město Praha","32793306"
2007,"Jihočeský kraj","5419587"
2007,"Jihomoravský kraj","12190147"
2007,"Karlovarský kraj","2145383"
2007,"Kraj Vysočina","2980745"
2007,"Královéhradecký kraj","5120906"
2007,"Liberecký kraj","5952070"
2007,"Moravskoslezský kraj","14903704"
2007,"Olomoucký kraj","5533712"
2007,"Pardubický kraj","8111340"
2007,"Plzeňský kraj","7137656"
2007,"Ústecký kraj","18169221"
2007,"Středočeský kraj","12565618"
2007,"Zlínský kraj","6112464"
2008,"Unspecified location","379588522"
2008,"Hlavní město Praha","46605783"
2008,"Jihočeský kraj","10199710"
2008,"Jihomoravský kraj","26133580"
2008,"Karlovarský kraj","4762065"
2008,"Kraj Vysočina","5098448"
2008,"Královéhradecký kraj","12658760"
2008,"Liberecký kraj","9386441"
2008,"Moravskoslezský kraj","27166668"
2008,"Olomoucký kraj","8246057"
2008,"Pardubický kraj","10607132"
2008,"Plzeňský kraj","11036535"
2008,"Ústecký kraj","27570339"
2008,"Středočeský kraj","26577095"
2008,"Zlínský kraj","9215824"
2009,"Unspecified location","372024587"
2009,"Hlavní město Praha","44058735"
2009,"Jihočeský kraj","11422907"
2009,"Jihomoravský kraj","26957133"
2009,"Karlovarský kraj","4681780"
2009,"Kraj Vysočina","4514329"
2009,"Královéhradecký kraj","13636788"
2009,"Liberecký kraj","11302360"
2009,"Moravskoslezský kraj","24455844"
2009,"Olomoucký kraj","8036522"
2009,"Pardubický kraj","15721559"
2009,"Plzeňský kraj","11562157"
2009,"Ústecký kraj","21456892"
2009,"Středočeský kraj","20742111"
2009,"Zlínský kraj","9026886"
2010,"Unspecified location","407383946"
2010,"Hlavní město Praha","78719260"
2010,"Jihočeský kraj","17881303"
2010,"Jihomoravský kraj","46645861"
2010,"Karlovarský kraj","6973923"
2010,"Kraj Vysočina","9034428"
2010,"Královéhradecký kraj","22083141"
2010,"Liberecký kraj","18548400"
2010,"Moravskoslezský kraj","41244238"
2010,"Olomoucký kraj","15750485"
2010,"Pardubický kraj","13767942"
2010,"Plzeňský kraj","17514820"
2010,"Ústecký kraj","50302492"
2010,"Středočeský kraj","42225062"
2010,"Zlínský kraj","18276286"
2011,"Unspecified location","454360526"
2011,"Hlavní město Praha","81849623"
2011,"Jihočeský kraj","20269894"
2011,"Jihomoravský kraj","46624473"
2011,"Karlovarský kraj","8602582"
2011,"Kraj Vysočina","10743280"
2011,"Královéhradecký kraj","23367288"
2011,"Liberecký kraj","21791186"
2011,"Moravskoslezský kraj","59470553"
2011,"Olomoucký kraj","17079981"
2011,"Pardubický kraj","15170980"
2011,"Plzeňský kraj","20011947"
2011,"Ústecký kraj","57920061"
2011,"Středočeský kraj","45769722"
2011,"Zlínský kraj","17853885"
2012,"Unspecified location","438720655"
2012,"Hlavní město Praha","95365076"
2012,"Jihočeský kraj","21021771"
2012,"Jihomoravský kraj","47294642"
2012,"Karlovarský kraj","8092150"
2012,"Kraj Vysočina","11271921"
2012,"Královéhradecký kraj","24987007"
2012,"Liberecký kraj","18791487"
2012,"Moravskoslezský kraj","54111143"
2012,"Olomoucký kraj","21144565"
2012,"Pardubický kraj","17957671"
2012,"Plzeňský kraj","19371062"
2012,"Ústecký kraj","25675730"
2012,"Středočeský kraj","50732636"
2012,"Zlínský kraj","17665697"
2013,"Unspecified location","444670404"
2013,"Hlavní město Praha","96890253"
2013,"Jihočeský kraj","21187784"
2013,"Jihomoravský kraj","45255651"
2013,"Karlovarský kraj","8427502"
2013,"Kraj Vysočina","10668726"
2013,"Královéhradecký kraj","26102145"
2013,"Liberecký kraj","19054553"
2013,"Moravskoslezský kraj","58235399"
2013,"Olomoucký kraj","18860496"
2013,"Pardubický kraj","18375545"
2013,"Plzeňský kraj","19523083"
2013,"Ústecký kraj","26538655"
2013,"Středočeský kraj","52082300"
2013,"Zlínský kraj","18491710"
2014,"Unspecified location","484997950"
2014,"Hlavní město Praha","93606101"
2014,"Jihočeský kraj","22189581"
2014,"Jihomoravský kraj","63050363"
2014,"Karlovarský kraj","7922295"
2014,"Kraj Vysočina","14971356"
2014,"Královéhradecký kraj","25499743"
2014,"Liberecký kraj","18700531"
2014,"Moravskoslezský kraj","64427082"
2014,"Olomoucký kraj","20924580"
2014,"Pardubický kraj","19151242"
2014,"Plzeňský kraj","24235968"
2014,"Ústecký kraj","32323327"
2014,"Středočeský kraj","50717673"
2014,"Zlínský kraj","22743343"
2015,"Unspecified location","487108510"
2015,"Hlavní město Praha","95028014"
2015,"Jihočeský kraj","21393380"
2015,"Jihomoravský kraj","56293939"
2015,"Karlovarský kraj","9121551"
2015,"Kraj Vysočina","15320569"
2015,"Královéhradecký kraj","26898137"
2015,"Liberecký kraj","19185303"
2015,"Moravskoslezský kraj","66356495"
2015,"Olomoucký kraj","24482313"
