"year","expense_type","total_expenses"
2006,"Capitalized output (methodology valid until 2015)","2422965"
2006,"Gross investment in tangible non-current assets","133935004"
2006,"Non-investment environmental protection expenditure","243556237"
2006,"Revenues from sale of by-products","12533207"
2006,"Turnover from selling of services","46555343"
2007,"Capitalized output (methodology valid until 2015)","2859868"
2007,"Gross investment in tangible non-current assets","118584862"
2007,"Non-investment environmental protection expenditure","297154014"
2007,"Revenues from sale of by-products","14605744"
2007,"Turnover from selling of services","64726731"
2008,"Capitalized output (methodology valid until 2015)","11322921"
2008,"Gross investment in tangible non-current assets","120961388"
2008,"Non-investment environmental protection expenditure","307859381"
2008,"Revenues from sale of by-products","42398770"
2008,"Turnover from selling of services","132310499"
2009,"Capitalized output (methodology valid until 2015)","4623123"
2009,"Gross investment in tangible non-current assets","135793259"
2009,"Non-investment environmental protection expenditure","291561722"
2009,"Revenues from sale of by-products","27816183"
2009,"Turnover from selling of services","139806303"
2010,"Capitalized output (methodology valid until 2015)","3868691"
2010,"Gross investment in tangible non-current assets","173847846"
2010,"Non-investment environmental protection expenditure","427508525"
2010,"Revenues from sale of by-products","42285116"
2010,"Turnover from selling of services","158841409"
2011,"Capitalized output (methodology valid until 2015)","4559808"
2011,"Gross investment in tangible non-current assets","192358639"
2011,"Non-investment environmental protection expenditure","472126303"
2011,"Revenues from sale of by-products","59608233"
2011,"Turnover from selling of services","172232998"
2012,"Capitalized output (methodology valid until 2015)","4557368"
2012,"Gross investment in tangible non-current assets","198458550"
2012,"Non-investment environmental protection expenditure","451737321"
2012,"Revenues from sale of by-products","50657988"
2012,"Turnover from selling of services","166791986"
2013,"Capitalized output (methodology valid until 2015)","5220854"
2013,"Gross investment in tangible non-current assets","211070686"
2013,"Non-investment environmental protection expenditure","451638131"
2013,"Revenues from sale of by-products","49983096"
2013,"Turnover from selling of services","166451439"
2014,"Capitalized output (methodology valid until 2015)","5534406"
2014,"Gross investment in tangible non-current assets","246806453"
2014,"Non-investment environmental protection expenditure","480737847"
2014,"Revenues from sale of by-products","64663648"
2014,"Turnover from selling of services","167718781"
2015,"Capitalized output (methodology valid until 2015)","4678259"
2015,"Gross investment in tangible non-current assets","307558821"
2015,"Non-investment environmental protection expenditure","448487066"
2015,"Revenues from sale of by-products","44408660"
2015,"Turnover from selling of services","158973812"
2016,"Capitalized output (methodology valid until 2015)","5897293"
2016,"Gross investment in tangible non-current assets","199663644"
2016,"Non-investment environmental protection expenditure","457086970"
2016,"Revenues from sale of by-products","46149522"
2016,"Turnover from selling of services","154843157"
2017,"Capitalized output (methodology valid until 2015)","6753518"
2017,"Gross investment in tangible non-current assets","277749067"
2017,"Non-investment environmental protection expenditure","490415964"
2017,"Revenues from sale of by-products","50693782"
2017,"Turnover from selling of services","175156362"
2018,"Capitalized output (methodology valid until 2015)","7129830"
2018,"Gross investment in tangible non-current assets","240138168"
2018,"Non-investment environmental protection expenditure","536270936"
2018,"Revenues from sale of by-products","55697553"
2018,"Turnover from selling of services","180604737"
2019,"Capitalized output (methodology valid until 2015)","7817426"
2019,"Gross investment in tangible non-current assets","230363384"
2019,"Non-investment environmental protection expenditure","564089228"
2019,"Revenues from sale of by-products","51052574"
2019,"Turnover from selling of services","191267118"
2020,"Capitalized output (methodology valid until 2015)","5712062"
2020,"Gross investment in tangible non-current assets","245621398"
2020,"Non-investment environmental protection expenditure","568687073"
2020,"Revenues from sale of by-products","47025897"
2020,"Turnover from selling of services","199534021"
2021,"Capitalized output (methodology valid until 2015)","9669760"
2021,"Gross investment in tangible non-current assets","229542567"
2021,"Non-investment environmental protection expenditure","694267782"
2021,"Revenues from sale of by-products","80804441"
2021,"Turnover from selling of services","231579726"
2022,"Capitalized output (methodology valid until 2015)","11184178"
2022,"Gross investment in tangible non-current assets","264793640"
2022,"Non-investment environmental protection expenditure","732110454"
2022,"Revenues from sale of by-products","90972090"
2022,"Turnover from selling of services","238276916"
2023,"Capitalized output (methodology valid until 2015)","8998317"
2023,"Gross investment in tangible non-current assets","290001609"
2023,"Non-investment environmental protection expenditure","748787296"
2023,"Revenues from sale of by-products","87035190"
2023,"Turnover from selling of services","251152411"
2024,"Capitalized output (methodology valid until 2015)","8324076"
2024,"Gross investment in tangible non-current assets","210607355"
2024,"Non-investment environmental protection expenditure","1006222757"
2024,"Revenues from sale of by-products","94280086"
2024,"Turnover from selling of services","297827142"
